have,"Da unsere Hypothesen auf den Wachstumsmerkmalen von Krone und Stamm basieren, wurden die @ORGANISM$ den funktionalen Gruppen entsprechend @QUALITY$ (Baumkrone vs. Unterbaum) (Poorter et al., 2006), Blattlebensdauer (immergrün vs. laubabwerfend) (Deng et al., 2008) und Blattmorphologie (einfache Blätter, gefiederte Blätter, Nadeln) zugeordnet."
have,"Befehle: as.taxo(), divc() (div_abgd: Beobachtete Anzahl von @ORGANISM$ OTUs basierend auf der ABGD-Methode) dimensionslose reale taxonomische Biodiversität @QUALITY$ kann als Artenreichtum oder andere Diversitätsindizes angegeben werden."
NA,"Wir zeigen, dass I. noli-tangere und I. textori die gleiche Bestäuber-Nische teilen (d.h. @PHENOMENA$, Bestäuberfauna und @QUALITY$ des Pollens am Körper des Bestäubers)."
NA,(ppm) Anzahl # Dezimal st_dev_p_bicar_ppm Daten/p_bicar.csv csv @QUALITY$ Vegetationsklasse @ENVIRONMENT$ Klasse String # String Vegetationsklasse dir_quad DIR.
have,-- - Die Kronenlänge wird als die gesamte Baumhöhe minus die Höhe des Gabelungspunktes berechnet. Das Kronenverhältnis wurde als Kronenlänge geteilt durch die Gesamthöhe des @ORGANISM$ (mean_rad: @QUALITY$) dimensionsloses reales Kronenarchitektur Kronenradien in den acht subkardinalen Richtungen wurden mittels eines Kronenspiegels bestimmt.
have,"Befehle: as.taxo(), divc Beobachtete Anzahl von @ORGANISM$ OTUs @QUALITY$ (div_abgd), div_abgd Taxon-Diversität kann als Artenreichtum oder andere Diversitätsindizes angegeben werden."
influence,"Merkmale von @MATTER$/Chargo al (Tiefe) beeinflussen @QUALITY$ II; chargo51 Bodenschreibung (laut ""Bodenkundliche Kartieranleitung"") (parent_material53), parent_material53 Grundinformationen zu Bodeneigenschaften, laut ""Eckelmann, W., Sponagel, H., Grottenthaler, W., Hartmann, J. K., Hartwich, R., Janetzko, P., ... & Traidl, R. (2005)."""
have,Spatiotemporale Modulation der Biodiversität in einem synthetisch chemisch vermittelten Ökosystem Biodiversität oder die relative @QUALITY$ von @ORGANISM$ misst die Persistenz eines Ökosystems.
NA,"Arten wurden in subtraktiver Weise entfernt, sodass die Biomasse mit jeder Entfernung von @ORGANISM$ variieren konnte, und wichtige @PHENOMENA$ wurden in jeder Phase der Gemeinschaftszerlegung gemessen."
NA,"In 18 beweideten und 21 verbesserten Brachflächen schätzten wir die Biomasse und quantifizierten @MATTER$, Bodenbasis-Kationen, Sandgehalt und Bodeninfiltration @QUALITY$."
NA,"Die Auswirkungen der Interaktion zwischen Biomasse und Artenreichtum auf die Komplementarität variierten zwischen den einzelnen Prozessen, aber die aggregierten Maße der Komplementarität über alle @ENVIRONMENT$-Prozesse waren auf dem höchsten Gemeinschafts-@QUALITY$-Niveau signifikant höher."
NA,"Es würde dann nur im zentralen Unterplot als Beitrag zur Biomasse gezählt werden. Helper; Datengruppenbeschreibung: Helper Pflanzenhöhe (Höhe), Meterhöhe Messung @ORGANISM$ Höhe (Höhe: @QUALITY$ des Stammholzes: Die Höhe wird an allen aufrechten CWD (d.h. ."
