positive_per_input,negative_per_input,semantic_per_input,prompt_style,binary_f1,binary_hamming_loss,multi_class_f1,multi_class_hamming_loss,runs
0,0,0,code,0.4084,0.3233,0.2538,0.7462,3
1,2,2,code,0.5879,0.2558,0.4564,0.5436,3
2,4,3,code,0.6375,0.2350,0.4897,0.5103,3
2,4,4,code,0.6191,0.2492,0.4872,0.5128,3
4,8,8,code,0.6391,0.2325,0.4846,0.5154,3
0,0,0,natural,0.3942,0.3483,0.2538,0.7462,3
1,2,2,natural,0.6174,0.2417,0.5180,0.4820,3
2,4,3,natural,0.6222,0.2500,0.5411,0.4589,3
2,4,4,natural,0.6363,0.2392,0.5743,0.4257,3
4,8,8,natural,0.6235,0.2467,0.5641,0.4359,3
