"timestamp","results_source","few_shot_examples","few_shot_inputs","binary_f1","binary_hamming_loss","multi_class_f1","multi_class_hamming_loss","prompt_style"
"2025-12-10T10:27:42.251800","results.csv","200","50","0.6792","0.34","0.8095","0.1905",""
"2025-12-10T10:48:35.199710","results.csv","1600","397","0.5627","0.3925","0.6385","0.3615",""
"2025-12-11T11:17:50.722994","results.csv","1600","397","0.5627","0.3925","0.6385","0.3615",""
"2025-12-11T11:21:49.043025","results.csv","200","50","0.6667","0.36","0.8095","0.1905",""
"2025-12-11T11:42:12.983335","results.csv","200","50","0.6545","0.38","0.7619","0.2381",""
"2025-12-11T11:51:19.849690","results.csv","200","50","0.6552","0.4","0.8095","0.1905",""
"2025-12-11T12:08:04.156464","results.csv","250","50","0.6429","0.4","0.7619","0.2381",""
"2025-12-11T12:09:16.579325","results.csv","250","50","0.6786","0.36","0.8095","0.1905",""
"2025-12-11T12:21:04.947606","results.csv","250","50","0.6441","0.42","0.7619","0.2381",""
"2025-12-11T12:25:12.019868","results.csv","300","50","0.6296","0.4","0.619","0.381",""
"2025-12-11T12:29:20.998112","results.csv","300","50","0.6545","0.38","0.7143","0.2857",""
"2025-12-11T12:33:54.460235","results.csv","250","50","0.6545","0.38","0.7143","0.2857",""
"2025-12-11T12:33:57.442393","results.csv","250","50","0.6545","0.38","0.7143","0.2857",""
"2025-12-11T12:49:48.394568","results.csv","250","50","0.6316","0.42","0.7143","0.2857",""
"2025-12-11T13:27:53.906861","results.csv","250","50","0.5333","0.42","0.4286","0.5714",""
"2025-12-11T13:39:04.207702","results.csv","250","50","0.6809","0.3","0.619","0.381",""
"2025-12-11T13:45:06.816091","results.csv","250","50","0.6786","0.36","0.7619","0.2381",""
"2025-12-11T13:52:56.279389","results.csv","250","50","0.6786","0.36","0.7619","0.2381",""
"2025-12-11T13:57:02.150363","results.csv","250","50","0.6667","0.38","0.7619","0.2381",""
"2026-01-02T13:11:41.795957","results.csv","","","0.4375","0.36","0.3333","0.6667","code"
"2026-01-02T14:08:30.490197","results.csv","250","50","0.4138","0.34","0.2381","0.7619","code"
"2026-01-02T14:24:55.461072","results.csv","250","50","0.6500","0.2800","0.4286","0.5714","code"
