"timestamp","train_instances","test_instances","positive_per_input","negative_per_input","semantic_per_input","binary_f1","binary_hamming_loss","multi_class_f1","multi_class_hamming_loss","prompt_style"
"2026-02-05T14:25:38.071851","3161","400","2","4","4","0.6288","0.245","0.5692","0.4308","natural"
"2026-02-05T14:36:25.847878","3161","400","1","2","2","0.622","0.24","0.5231","0.4769","natural"
"2026-02-05T14:46:39.862753","3161","400","1","2","2","0.6135","0.2425","0.5077","0.4923","natural"
"2026-02-05T14:55:13.573697","3161","400","1","2","2","0.6166","0.2425","0.5231","0.4769","natural"
"2026-02-05T15:05:26.276999","3161","400","2","4","4","0.6412","0.235","0.5769","0.4231","natural"
"2026-02-05T15:25:49.379391","3161","400","2","4","4","0.6388","0.2375","0.5769","0.4231","natural"
"2026-02-05T15:41:02.131179","3161","400","4","8","8","0.616","0.2525","0.5615","0.4385","natural"
"2026-02-05T15:52:18.396269","3161","400","4","8","8","0.6284","0.2425","0.5615","0.4385","natural"
"2026-02-05T16:07:39.289869","3161","400","4","8","8","0.626","0.245","0.5692","0.4308","natural"
"2026-02-05T16:20:16.751070","3161","400","2","4","3","0.6236","0.2475","0.5385","0.4615","natural"
"2026-02-05T16:29:34.789584","3161","400","2","4","3","0.6189","0.2525","0.5385","0.4615","natural"
"2026-02-05T16:38:35.475991","3161","400","2","4","3","0.6241","0.25","0.5462","0.4538","natural"
"2026-02-06T13:02:19.985427","3161","400","0","0","0","0.3913","0.35","0.2538","0.7462","natural"
"2026-02-06T13:08:05.388584","3161","400","0","0","0","0.393","0.3475","0.2462","0.7538","natural"
"2026-02-06T13:12:36.398750","3161","400","0","0","0","0.3983","0.3475","0.2615","0.7385","natural"
"2026-02-06T13:31:10.330075","3161","400","1","2","2","0.583","0.2575","0.4385","0.5615","code"
"2026-02-06T13:39:02.470393","3161","400","1","2","2","0.5968","0.25","0.4615","0.5385","code"
"2026-02-06T13:47:45.911064","3161","400","0","0","0","0.4182","0.32","0.2692","0.7308","code"
"2026-02-06T13:53:51.617045","3161","400","0","0","0","0.4182","0.32","0.2538","0.7462","code"
"2026-02-09T10:49:48.001305","3161","400","0","0","0","0.3889","0.33","0.2385","0.7615","code"
"2026-02-09T11:02:51.163559","3161","400","1","2","2","0.584","0.26","0.4692","0.5308","code"
"2026-02-09T11:14:54.327873","3161","400","2","4","4","0.6207","0.2475","0.4923","0.5077","code"
"2026-02-09T11:31:05.643582","3161","400","2","4","4","0.6207","0.2475","0.4923","0.5077","code"
"2026-02-09T14:55:58.582242","3161","400","2","4","4","0.616","0.2525","0.4769","0.5231","code"
"2026-02-09T15:05:06.453132","3161","400","4","8","8","0.6328","0.235","0.4692","0.5308","code"
"2026-02-09T15:26:03.140364","3161","400","4","8","8","0.6332","0.2375","0.4692","0.5308","code"
"2026-02-09T15:34:20.764379","3161","400","4","8","8","0.6512","0.225","0.5154","0.4846","code"
"2026-02-09T15:56:40.662026","3161","400","2","4","3","0.6412","0.235","0.4923","0.5077","code"
"2026-02-09T16:06:13.536928","3161","400","2","4","3","0.6357","0.235","0.4923","0.5077","code"
"2026-02-09T16:13:20.828465","3161","400","2","4","3","0.6357","0.235","0.4846","0.5154","code"
