"input_text","_source","gold","text"
"Selection of competitors : all neighbours within a radius of 2-Jan the height of the target tree were said to be competitors ( target_group : CSP #ERROR! target tree species ) The name consists of the CSP name and the @QUALITY$ of the target @ORGANISM$ around which the area is located .","entity_pair","HAVE","We measured above- and below-ground carbon stocks as well as the @QUALITY$ of four groups of plants and eight of @ORGANISM$ on 14 representative plots in Sulawesi , Indonesia , ranging from natural rainforest to cacao agroforests that have replaced former natural forest ."
"Selection of competitors : all neighbours within a radius of 2-Jan the height of the target tree were said to be competitors ( target_group : CSP #ERROR! target tree species ) The name consists of the CSP name and the @QUALITY$ of the target @ORGANISM$ around which the area is located .","entity_pair","INFLUENCE","Using a combination of @QUALITY$ analyses , metagenomics , and whole-genome sequencing , we reveal that the fungus garden microbiome of leaf-cutter @ORGANISM$ is composed of a diverse community of bacteria with high plant biomass-degrading capacity ."
"Selection of competitors : all neighbours within a radius of 2-Jan the height of the target tree were said to be competitors ( target_group : CSP #ERROR! target tree species ) The name consists of the CSP name and the @QUALITY$ of the target @ORGANISM$ around which the area is located .","entity_pair","NA","Here we analyse patterns of marine mammal @QUALITY$ based on predictions of global distributional ranges for 115 @ORGANISM$ , including all extant pinnipeds and cetaceans ."
"Selection of competitors : all neighbours within a radius of 2-Jan the height of the target tree were said to be competitors ( target_group : CSP #ERROR! target tree species ) The name consists of the CSP name and the @QUALITY$ of the target @ORGANISM$ around which the area is located .","entity_pair","NA","We tested speciesspecific differences of crown area , @QUALITY$ and stem inclination using a mixed effects model with @ORGANISM$ as fixed effect and plot as random effect ."
"Selection of competitors : all neighbours within a radius of 2-Jan the height of the target tree were said to be competitors ( target_group : CSP #ERROR! target tree species ) The name consists of the CSP name and the @QUALITY$ of the target @ORGANISM$ around which the area is located .","entity_pair","NA","Mind that the azimuth may have to be corrected given the date and location , since it depends on the magnetic field of the earth.CSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP metal tag number ( trees , @QUALITY$ debris ) ; Datagroup description : CSP @ORGANISM$ individuals were marked mostly with metal tags but also additional tags were used ."
"19-23 72070 TÃƒÆ’Ã‚Â¼bingen Germany -2981918 Christian GeiÃƒÆ’Ã…Â¸ler Uni TÃƒÆ’Ã‚Â¼bingen @LOCATION$ 6/7/2011 en_US Rain was captured in open @ENVIRONMENT$ and in vegetated conditions parallel to measurements in the Comparative study plots ( CSPs ) .","entity_pair","OCCUR_IN","The spatial identification of hot spots highlighted the ecological importance of most of the @LOCATION$ shelves ( and in particular , the Strait of Gibraltar and the adjacent Alboran Sea ) , western @ENVIRONMENT$ , the Adriatic , and the Aegean Sea , which show high concentrations of endangered , threatened , or vulnerable species ."
"19-23 72070 TÃƒÆ’Ã‚Â¼bingen Germany -2981918 Christian GeiÃƒÆ’Ã…Â¸ler Uni TÃƒÆ’Ã‚Â¼bingen @LOCATION$ 6/7/2011 en_US Rain was captured in open @ENVIRONMENT$ and in vegetated conditions parallel to measurements in the Comparative study plots ( CSPs ) .","entity_pair","OCCUR_IN","SUMMARY This data set shows point @LOCATION$ of Bird Conservation @ENVIRONMENT$ ."
"19-23 72070 TÃƒÆ’Ã‚Â¼bingen Germany -2981918 Christian GeiÃƒÆ’Ã…Â¸ler Uni TÃƒÆ’Ã‚Â¼bingen @LOCATION$ 6/7/2011 en_US Rain was captured in open @ENVIRONMENT$ and in vegetated conditions parallel to measurements in the Comparative study plots ( CSPs ) .","entity_pair","NA","Main Experiment : Seedling addition experiment - growth and biomass data Markus Germany Alexandra Erfmeier Institute of Botany / Geobotany and Botanical Garden Martin Luther University Halle-Wittenberg Am Kirchtor 1 6108 @LOCATION$ 0345-55-26230 ######## en_US While coexistence in plant communities is frequently explained by effects of resource niche partitioning , the Janzen-Connell ( J-C ) hypothesis is an alternative approach that has been assumed as a major ecological mechanism explaining high species richness levels , in particular , in @ENVIRONMENT$ ."
"19-23 72070 TÃƒÆ’Ã‚Â¼bingen Germany -2981918 Christian GeiÃƒÆ’Ã…Â¸ler Uni TÃƒÆ’Ã‚Â¼bingen @LOCATION$ 6/7/2011 en_US Rain was captured in open @ENVIRONMENT$ and in vegetated conditions parallel to measurements in the Comparative study plots ( CSPs ) .","entity_pair","NA","Our novel approach to this important but untested hypothesis was to conduct the same field experiment at three @LOCATION$ across the Indo-Pacific biodiversity gradient ( Papua New Guinea ; Great @ENVIRONMENT$ , Australia ; French Polynesia ) ."
"19-23 72070 TÃƒÆ’Ã‚Â¼bingen Germany -2981918 Christian GeiÃƒÆ’Ã…Â¸ler Uni TÃƒÆ’Ã‚Â¼bingen @LOCATION$ 6/7/2011 en_US Rain was captured in open @ENVIRONMENT$ and in vegetated conditions parallel to measurements in the Comparative study plots ( CSPs ) .","entity_pair","NA","SUMMARY This data set shows point @LOCATION$ of Bird @ENVIRONMENT$ ."
